series,iteration,timesteps,elapsed_s,total,success,episode_length,balance,height,large_actions,smooth_actions
go1_pretrained,0.0,786432.0,22.798,25.512,13.333,42.458,24.928,17.488,-2.986,-13.918
go1_pretrained,10.0,8650752.0,59.979,61.997,44.195,220.334,81.703,39.359,-10.468,-48.597
go1_pretrained,20.0,16515072.0,126.586,65.007,44.628,44.63,82.573,40.32,-10.412,-47.474
go1_pretrained,30.0,24379392.0,193.204,67.364,44.835,44.831,83.051,41.381,-10.469,-46.599
go1_pretrained,40.0,32243712.0,259.719,70.094,44.889,44.876,83.385,43.66,-10.946,-46.005
go1_pretrained,50.0,40108032.0,326.61,69.397,44.664,44.67,82.892,42.769,-10.756,-45.507
go1_pretrained,60.0,47972352.0,392.898,69.934,45.037,45.042,83.581,42.679,-10.929,-45.397
go1_pretrained,70.0,55836672.0,459.542,71.69,45.642,45.654,85.178,46.177,-13.79,-45.875
go1_pretrained,80.0,63700992.0,527.194,71.998,46.148,46.15,86.403,48.423,-16.185,-46.643
go1_pretrained,90.0,71565312.0,595.119,72.015,46.373,46.374,86.958,49.65,-17.587,-47.006
go1_pretrained,100.0,79429632.0,663.825,71.595,46.449,46.459,87.203,50.445,-18.858,-47.195
go1_pretrained,110.0,87293952.0,732.762,71.386,46.347,46.353,87.018,50.365,-18.918,-47.079
go1_pretrained,120.0,95158272.0,801.549,71.405,46.054,46.044,86.388,49.254,-17.556,-46.681
go1_pretrained,130.0,103022592.0,870.592,70.361,46.094,46.101,86.463,48.746,-18.099,-46.749
go1_pretrained,140.0,110886912.0,939.566,71.023,46.217,46.217,86.681,49.086,-17.905,-46.838
go1_pretrained,150.0,118751232.0,1008.381,71.741,46.139,46.126,86.577,49.534,-17.679,-46.692
go1_pretrained,160.0,126615552.0,1077.1,71.827,46.075,46.059,86.48,49.73,-17.884,-46.499
go1_pretrained,170.0,134479872.0,1145.467,73.13,46.156,46.144,86.546,49.796,-17.083,-46.129
go1_pretrained,180.0,142344192.0,1213.132,76.513,46.641,46.657,87.409,51.185,-16.791,-45.29
go1_pretrained,190.0,150208512.0,1281.419,77.084,46.865,46.861,87.922,52.205,-18.404,-44.641
go1_pretrained,200.0,158072832.0,1349.534,77.912,46.835,46.818,87.835,52.18,-18.162,-43.942
go1_pretrained,210.0,165937152.0,1417.258,79.356,46.861,46.859,87.841,52.348,-17.253,-43.58
go1_pretrained,220.0,173801472.0,1484.604,81.073,47.136,47.134,88.354,53.077,-16.947,-43.411
go1_pretrained,230.0,181665792.0,1552.2,81.697,47.343,47.356,88.788,53.479,-17.681,-42.888
go1_pretrained,240.0,189530112.0,1619.505,84.827,47.563,47.578,89.099,53.732,-16.016,-41.988
go1_pretrained,250.0,197394432.0,1685.923,86.224,47.828,47.833,89.595,54.306,-16.296,-41.381
go1_pretrained,260.0,205258752.0,1751.893,88.883,48.006,47.991,89.78,54.547,-14.705,-40.739
go1_pretrained,270.0,213123072.0,1817.832,89.807,47.973,47.97,89.789,54.797,-14.537,-40.242
go1_pretrained,280.0,220987392.0,1883.432,90.712,47.949,47.933,89.695,54.675,-14.143,-39.515
go1_pretrained,290.0,228851712.0,1949.033,90.911,48.431,48.414,90.699,54.877,-15.177,-39.487
go1_pretrained,300.0,236716032.0,2014.146,92.228,48.662,48.669,91.084,55.361,-14.875,-39.343
go1_pretrained,310.0,244580352.0,2078.83,93.184,48.802,48.794,91.321,55.736,-14.962,-38.91
go1_pretrained,320.0,252444672.0,2143.273,95.173,49.261,49.247,92.15,56.768,-15.318,-38.427
go1_pretrained,330.0,260308992.0,2207.543,98.066,49.884,49.885,93.312,57.884,-15.262,-37.869
go1_pretrained,340.0,268173312.0,2271.164,98.891,50.07,50.071,93.755,58.227,-15.748,-37.344
go1_pretrained,350.0,276037632.0,2334.353,100.363,50.208,50.196,93.983,58.757,-15.789,-36.587
go1_pretrained,360.0,283901952.0,2398.138,101.221,50.452,50.454,94.537,59.179,-16.501,-35.994
go1_pretrained,370.0,291766272.0,2460.684,103.564,51.024,51.039,95.564,60.152,-16.365,-35.786
go1_pretrained,380.0,299630592.0,2523.354,105.052,51.528,51.525,96.547,60.916,-16.765,-35.646
go1_pretrained,390.0,307494912.0,2585.925,106.332,51.601,51.587,96.586,61.502,-16.395,-35.361
go1_pretrained,400.0,315359232.0,2647.899,106.791,51.599,51.607,96.564,61.546,-16.111,-35.209
go1_pretrained,410.0,323223552.0,2709.428,107.139,51.602,51.602,96.541,61.49,-15.998,-34.894
go1_pretrained,420.0,331087872.0,2771.091,107.802,51.883,51.886,97.08,61.868,-16.423,-34.724
go1_pretrained,430.0,338952192.0,2832.295,109.927,52.491,52.504,98.18,62.724,-16.396,-34.581
go1_pretrained,440.0,346816512.0,2893.154,111.15,52.807,52.815,98.739,63.133,-16.402,-34.32
go1_pretrained,450.0,354680832.0,2953.974,111.476,52.912,52.918,98.857,63.312,-16.752,-33.941
go1_pretrained,460.0,362545152.0,3014.03,112.377,53.217,53.229,99.414,63.665,-17.098,-33.604
go1_pretrained,470.0,370409472.0,3074.154,113.419,53.368,53.357,99.695,63.697,-16.602,-33.372
go1_pretrained,480.0,378273792.0,3133.98,113.339,53.338,53.342,99.708,63.211,-16.364,-33.217
go1_pretrained,490.0,386138112.0,3193.489,115.044,53.802,53.82,100.514,64.177,-16.343,-33.304
go1_pretrained,500.0,394002432.0,3252.379,116.11,54.018,54.006,100.897,64.699,-16.316,-33.17
go1_pretrained,510.0,401866752.0,3311.092,116.067,53.909,53.926,100.687,64.214,-15.929,-32.905
go1_pretrained,520.0,409731072.0,3370.39,116.396,53.851,53.849,100.598,63.942,-15.505,-32.639
go1_pretrained,530.0,417595392.0,3429.641,116.882,53.999,54.01,100.849,64.116,-15.544,-32.538
go1_pretrained,540.0,425459712.0,3488.61,117.122,53.909,53.896,100.71,64.158,-15.431,-32.316
go1_pretrained,550.0,433324032.0,3547.437,117.432,54.055,54.054,100.971,64.459,-15.761,-32.237
go1_pretrained,560.0,441188352.0,3606.308,118.169,54.283,54.294,101.316,65.007,-15.782,-32.371
go1_pretrained,570.0,449052672.0,3664.963,118.702,54.519,54.494,101.727,65.604,-16.103,-32.527
go1_pretrained,580.0,456916992.0,3723.357,118.982,54.734,54.734,102.101,66.136,-16.637,-32.617
go1_pretrained,590.0,464781312.0,3782.064,119.017,54.676,54.661,102.003,66.022,-16.542,-32.466
go1_pretrained,600.0,472645632.0,3840.098,120.206,55.099,55.103,102.759,66.541,-16.673,-32.42
go1_pretrained,610.0,480509952.0,3898.336,116.156,54.175,54.172,100.966,63.656,-16.712,-31.755
go1_pretrained,620.0,488374272.0,3957.076,117.687,54.669,54.657,101.947,64.398,-16.703,-31.954
go1_pretrained,630.0,496238592.0,4015.338,119.347,55.038,55.039,102.622,65.259,-16.537,-31.997
go1_pretrained,640.0,504102912.0,4072.872,120.466,55.312,55.285,103.075,66.219,-16.759,-32.068
go1_pretrained,650.0,511967232.0,4130.339,121.998,55.82,55.812,104.022,67.201,-16.987,-32.238
go1_pretrained,660.0,519831552.0,4187.409,122.851,56.057,56.048,104.511,67.354,-16.878,-32.137
go1_pretrained,670.0,527695872.0,4244.304,123.631,56.219,56.219,104.774,67.681,-16.772,-32.051
go1_pretrained,680.0,535560192.0,4300.989,125.018,56.564,56.581,105.419,68.551,-16.732,-32.22
go1_pretrained,690.0,543424512.0,4357.944,124.627,56.175,56.173,104.681,68.264,-16.403,-31.915
go1_pretrained,700.0,551288832.0,4415.162,124.805,56.242,56.241,104.797,68.555,-16.603,-31.944
go1_pretrained,710.0,559153152.0,4472.235,125.442,56.568,56.55,105.367,69.084,-16.886,-32.123
go1_pretrained,720.0,567017472.0,4528.573,126.334,57.001,57.014,106.108,69.787,-17.21,-32.351
go1_pretrained,730.0,574881792.0,4584.752,126.518,57.162,57.161,106.346,69.754,-17.232,-32.349
go1_pretrained,740.0,582746112.0,4640.557,126.026,57.337,57.346,106.483,69.649,-17.525,-32.582
go1_pretrained,750.0,590610432.0,4696.542,127.536,57.92,57.918,107.648,70.383,-17.594,-32.901
go1_pretrained,760.0,598474752.0,4752.258,127.813,58.166,58.159,108.115,70.634,-17.861,-33.074
go1_pretrained,770.0,606339072.0,4807.75,127.25,58.165,58.144,108.001,70.896,-18.467,-33.181
go1_pretrained,780.0,614203392.0,4863.297,128.8,58.344,58.347,108.403,71.861,-18.134,-33.329
go1_pretrained,790.0,622067712.0,4919.473,126.964,57.901,57.9,107.631,70.217,-17.708,-33.176
go1_pretrained,800.0,629932032.0,4975.631,126.89,57.802,57.806,107.47,70.51,-17.933,-33.157
go1_pretrained,810.0,637796352.0,5032.375,124.431,56.975,56.985,105.924,69.395,-18.102,-32.786
go1_pretrained,820.0,645660672.0,5088.562,125.871,57.56,57.563,106.864,70.361,-18.229,-33.126
go1_pretrained,830.0,653524992.0,5144.374,127.58,58.034,58.041,107.794,71.093,-17.906,-33.402
go1_pretrained,840.0,661389312.0,5200.345,125.401,57.25,57.226,106.359,69.511,-17.527,-32.942
go1_pretrained,850.0,669253632.0,5256.72,126.705,57.934,57.957,107.581,70.058,-17.557,-33.376
go1_pretrained,860.0,677117952.0,5312.511,128.801,58.684,58.673,108.934,71.492,-17.845,-33.779
go1_pretrained,870.0,684982272.0,5368.061,129.909,59.228,59.227,109.859,72.337,-18.321,-33.965
